sentence_nr	span_nr	text	type	recall
723	0	Everyone	ISG	1.0
724	0	society	ISG	1.0
725	0	the lowest paid	SG	1.0
725	1	Whitehall	PI	1.0
726	0	museums	ORG	1.0
726	1	galleries	ORG	1.0
727	0	the Sports Council	PI	1.0
728	0	a Labour Government	PG	0.6666666666666666
728	1	migrants from the EU	SG	1.0
733	0	the Sports Councils	PI	1.0
735	0	Conservative Government	PG	1.0
736	0	entrepreneur	SG	1.0
736	1	investor	SG	1.0
738	0	Labour	PG	1.0
741	0	police	PI	1.0
742	0	Plants	ORG	1.0
742	1	companies	ORG	1.0
742	2	skilled workers	SG	1.0
742	3	our competitors	ISG	1.0
743	0	the Government	PI	1.0
743	1	men and women	SG	0.6666666666666666
744	0	British Rail	ORG	0.0
746	0	workers	SG	1.0
748	0	the telecommunications industry	ORG	1.0
749	0	UK Government	PI	1.0
749	1	Union	PI	1.0
750	0	The Government	PI	1.0
751	0	UKIP	PG	1.0
751	1	the Environment Agency	PI	1.0
752	0	all British citizens	SG	1.0
754	0	staff	SG	1.0
755	0	SNP MPs	PG	1.0
755	1	Women Against State Pension Inequality ( WASPI )	ORG	0.0
755	2	women	SG	1.0
757	0	Gordon Brown's government	PG	0.4
758	0	Liberal Democrats	PG	1.0
758	1	parents	SG	1.0
758	2	the next generation	ISG	1.0
758	3	children	SG	0.0
758	4	schools	ORG	1.0
759	0	student	SG	0.0
759	1	universities	ORG	1.0
759	2	talented young people	SG	1.0
759	3	students	SG	1.0
761	0	The public sector	ORG	1.0
762	0	seven different bodies reporting to three different cabinet ministers	PI	0.1111111111111111
763	0	British industry	ORG	1.0
763	1	main competitors	ISG	0.0
764	0	The Conservative Government	PG	1.0
765	0	public sector bodies	ORG	1.0
765	1	mutual groups involving staff and passengers	SG	0.3333333333333333
766	0	Labour	PG	1.0
766	1	government	PI	1.0
769	0	Government	PI	1.0
770	0	people	ISG	1.0
771	0	comprehensive advice centres	ORG	1.0
771	1	those who need help	SG	1.0
772	0	local authorities	PI	1.0
772	1	quality public services	ORG	0.6666666666666666
772	2	communities	ISG	1.0
773	0	disadvantaged people	SG	1.0
775	0	Labour	PG	1.0
775	1	country	ISG	0.0
780	0	More and more who have the ability to benefit	SG	0.7777777777777778
781	0	school	ORG	1.0
782	0	The Green Party	PG	1.0
782	1	the EU	PI	1.0
783	0	Parliament	PI	1.0
783	1	Government	PI	1.0
786	0	the public sector	ORG	1.0
786	1	workers	SG	1.0
786	2	the Government	PI	1.0
786	3	a minority	ISG	0.0
787	0	a Labour government	PG	0.6666666666666666
787	1	the North Atlantic Alliance	PI	1.0
788	0	major museums	ORG	1.0
788	1	galleries	ORG	1.0
789	0	the NHS	ORG	1.0
789	1	schools	ORG	1.0
789	2	people	ISG	1.0
790	0	community-led	ISG	1.0
791	0	each authority	PI	0.5
793	0	the national government	PI	1.0
793	1	the devolved institutions	PI	1.0
794	0	trading partners	ISG	0.0
795	0	Scottish farmers and fishermen	SG	0.75
796	0	Law Commissioners	PI	1.0
796	1	a modern society	ISG	1.0
797	0	Small Business Development Bureau	PI	1.0
797	1	small firms	ORG	1.0
798	0	tenants	SG	1.0
800	0	Labour	PG	1.0
800	1	museums	ORG	1.0
800	2	museums and heritage sector	ORG	0.75
801	0	big corporations	ORG	1.0
801	1	the super-rich	SG	1.0
801	2	everyone else	ISG	0.0
803	0	leadership	ISG	0.0
804	0	British firms	ORG	1.0
806	0	the Community	ISG	1.0
809	0	The Conservative Party	PG	1.0
809	1	the Union	PI	0.0
809	2	family of nations	SG	0.0
812	0	governments	PI	1.0
813	0	NHS	ORG	1.0
814	0	Rural councils	PI	1.0
814	1	public services	ORG	1.0
817	0	Labour	PG	1.0
817	1	the Lottery	ORG	1.0
817	2	people	ISG	1.0
818	0	the Energy Commission	PI	1.0
819	0	a compassionate society	ISG	0.6666666666666666
819	1	people in need	SG	1.0
820	0	A Conservative government	PG	1.0
821	0	marginalised communities in the developing world	SG	0.8333333333333334
821	1	the UK government	PI	1.0
822	0	elected assembles in Scotland and Wales	PI	0.0
823	0	the social services	ORG	1.0
824	0	our country	ISG	1.0
825	0	British Rail	ORG	0.0
825	1	the commercial sector	ORG	1.0
826	0	the National Freight Company	ORG	1.0
826	1	managers	SG	1.0
826	2	workers	SG	1.0
826	3	business	ORG	1.0
827	0	the people	ISG	0.5
828	0	family	SG	1.0
829	0	universities	ORG	1.0
829	1	further education colleges	ORG	1.0
831	0	veterans	SG	1.0
832	0	The Scottish Government	PI	1.0
832	1	rural and remote communities	SG	1.0
833	0	local government	PI	1.0
833	1	local public services	ORG	1.0
834	0	Cyprus	ISG	1.0
836	0	government	PI	1.0
836	1	the authorities	PI	1.0
838	0	Local health professionals	SG	1.0
840	0	all who enter secondary school after the summer of 1967	SG	1.0
841	0	NATO	PI	1.0
842	0	teenagers	SG	1.0
844	0	tourist	SG	1.0
844	1	family	SG	0.0
845	0	the courts	PI	1.0
845	1	convicted juveniles	SG	1.0
846	0	the young	SG	1.0
847	0	Labour	PG	1.0
847	1	council housing	ORG	0.0
847	2	areas of serious housing need	SG	1.0
848	0	a special independent Police Complaints Board	PI	0.6666666666666666
848	1	the police	PI	1.0
848	2	the community	ISG	1.0
849	0	the generations	ISG	1.0
849	1	older people	SG	1.0
849	2	younger generations	SG	0.5
850	0	employees	SG	1.0
850	1	company	ORG	1.0
851	0	Good schools	ORG	1.0
851	1	less successful schools	ORG	1.0
852	0	Labour Government	PG	1.0
853	0	the House of Lords	PI	1.0
853	1	hereditary peers	PI	0.0
854	0	Labour	PG	1.0
855	0	citizens	SG	1.0
855	1	tenants	SG	1.0
855	2	shoppers	SG	1.0
855	3	patients	SG	1.0
855	4	voters	SG	1.0
856	0	women	SG	1.0
